model;provider;sector;occupation;wins %;wins+ties %;losses %;total:tasks;
GPT-5 high;OpenAI;Finance and Insurance;Customer Service;54.10;59.90;40.10;5;
Claude Opus 4.1;Anthropic;Finance and Insurance;Customer Service;55.60;57.80;42.20;5;
Grok 4;xAI;Finance and Insurance;Customer Service;51.10;51.10;48.90;5;;
GPT-5 medium;OpenAI;Finance and Insurance;Customer Service;50.00;50.00;50.00;5;
o3 high;OpenAI;Finance and Insurance;Customer Service;47.10;49.00;51.00;5;
o4-mini high;OpenAI;Finance and Insurance;Customer Service;43.10;43.10;56.90;5;
Gemini 2.5 Pro;Google (Google DeepMind);Finance and Insurance;Customer Service;42.20;42.20;57.80;5;
GPT-5 low;OpenAI;Finance and Insurance;Customer Service;40.00;40.00;60.00;5;
GPT-4o;OpenAI;Finance and Insurance;Customer Service;11.80;17.60;82.40;5;
Claude Opus 4.1;OpenAI;Government;Administrative Service Managers;53.30;53.30;46.70;5;
GPT-5 high;OpenAI;Government;Administrative Service Managers;39.00;41.00;59.00;5;
GPT-5 low;OpenAI;Government;Administrative Service Managers;35.00;40.00;60.00;5;
Gemini 2.5 Pro;Google (Google DeepMind);Government;Administrative Service Managers;37.80;37.80;62.20;5;
o3 high;OpenAI;Government;Administrative Service Managers;28.90;31.10;68.90;5;
GPT-5 medium;OpenAI;Government;Administrative Service Managers;30.00;30.00;70.00;5;
Grok 4;xAI;Government;Administrative Service Managers;24.40;24.40;75.60;5;
GPT-4o;OpenAI;Government;Administrative Service Managers;17.80;22.20;77.80;5;
o4-mini high;OpenAI;Government;Administrative Service Managers;17.80;20.00;80.00;5;
Claude Opus 4.1;Anthropic;Information;Editors;73.30;77.80;22.20;5;
GPT-5 high;OpenAI;Information;Editors;77.10;77.10;22.90;5;
GPT-5 low;OpenAI;Information;Editors;65.00;65.00;35.00;5;
o3 high;OpenAI;Information;Editors;55.60;55.60;44.40;5;
GPT-5 medium;OpenAI;Information;Editors;55.00;55.00;45.00;5;
Gemini 2.5 Pro;Google (Google DeepMind);Information;Editors;42.20;42.20;57.80;5;
o4-mini high;OpenAI;Information;Editors;37.80;37.80;62.20;5;
Grok 4;xAI;Information;Editors;35.60;35.60;64.40;5;
GPT-4o;OpenAI;Information;Editors;13.30;13.30;86.70;5;
GPT-5 high;OpenAI;Professional, scientific and technical services;Computer and Information Systems Managers;53.30;55.20;44.80;5;
GPT-5 low;OpenAI;Professional, scientific and technical services;Computer and Information Systems Managers;50.00;55.00;45.00;5;
GPT-5 medium;OpenAI;Professional, scientific and technical services;Computer and Information Systems Managers;45.00;55.00;45.00;5;
Claude Opus 4.1;Anthropic;Professional, scientific and technical services;Computer and Information Systems Managers;35.60;42.20;57.80;5;
o3 high;OpenAI;Professional, scientific and technical services;Computer and Information Systems Managers;33.30;40.00;60.00;5;
Grok 4;xAI;Professional, scientific and technical services;Computer and Information Systems Managers;24.40;28.90;71.10;5;
o4-mini high;OpenAI;Professional, scientific and technical services;Computer and Information Systems Managers;26.70;26.70;73.30;5;
Gemini 2.5 Pro;Google (Google DeepMind);Professional, scientific and technical services;Computer and Information Systems Managers;24.40;24.40;75.60;5;
gpt-4o;OpenAI;Professional, scientific and technical services;Computer and Information Systems Managers;8.90;15.60;84.40;5;