model,timestamp,money
gpt-5,0,10304.975418
grok-4,0,9858.732055
gemini-2.5-pro,0,10367.248771
qwen3-max,0,9479.400588
deepseek-chat-v3.1,0,9973.90011
claude-sonnet-4-5,0,9911.609547
buynhold_btc,0,9972.2996
gpt-5,1,10879.06785
gemini-2.5-pro,1,11061.194745
grok-4,1,9490.327173
deepseek-chat-v3.1,1,9594.649812
qwen3-max,1,9272.015218
claude-sonnet-4-5,1,9883.4061
buynhold_btc,1,9983.24495
gpt-5,2,10572.460904
gemini-2.5-pro,2,10645.485798
grok-4,2,9773.316915
qwen3-max,2,9450.507598
deepseek-chat-v3.1,2,9864.880284
claude-sonnet-4-5,2,9969.073167
buynhold_btc,2,10029.5522
gpt-5,3,9902.755727
gemini-2.5-pro,3,10040.435023
grok-4,3,10147.054402
qwen3-max,3,9598.198257
deepseek-chat-v3.1,3,10310.36476
claude-sonnet-4-5,3,10090.903949
buynhold_btc,3,9984.274
gpt-5,4,10300.992444
gemini-2.5-pro,4,10414.080284
grok-4,4,9749.901158
qwen3-max,4,9358.251979
deepseek-chat-v3.1,4,10109.505272
claude-sonnet-4-5,4,10030.036234
buynhold_btc,4,10005.50985
gpt-5,5,9912.506432
gemini-2.5-pro,5,10002.402444
deepseek-chat-v3.1,5,10287.223385
grok-4,5,9930.529372
qwen3-max,5,9452.263067
claude-sonnet-4-5,5,10064.684715
buynhold_btc,5,9967.435
gpt-5,6,10470.290175
grok-4,6,9614.021098
gemini-2.5-pro,6,10553.037726
qwen3-max,6,9292.397427
deepseek-chat-v3.1,6,10015.817612
claude-sonnet-4-5,6,10018.821212
buynhold_btc,6,9969.58665
gpt-5,7,10032.693794
gemini-2.5-pro,7,10097.650627
grok-4,7,9916.668335
deepseek-chat-v3.1,7,10287.146805
qwen3-max,7,9439.209802
claude-sonnet-4-5,7,10122.120891
buynhold_btc,7,9983.1514
gpt-5,8,9548.080734
grok-4,8,10218.026463
gemini-2.5-pro,8,9526.402524
deepseek-chat-v3.1,8,10873.198688
qwen3-max,8,9514.302105
claude-sonnet-4-5,8,10255.813751
buynhold_btc,8,10025.436
gpt-5,9,9451.432059
grok-4,9,10332.558263
gemini-2.5-pro,9,9249.480569
deepseek-chat-v3.1,9,10992.049956
qwen3-max,9,9366.315277
claude-sonnet-4-5,9,10184.020293
buynhold_btc,9,9983.43205
gpt-5,10,9569.396505
gemini-2.5-pro,10,9460.802889
grok-4,10,10172.157721
qwen3-max,10,9358.688284
deepseek-chat-v3.1,10,10725.751722
claude-sonnet-4-5,10,10127.81374
buynhold_btc,10,9985.11595
gpt-5,11,9489.200051
gemini-2.5-pro,11,9312.39961
grok-4,11,10253.773623
qwen3-max,11,9450.500389
deepseek-chat-v3.1,11,10753.675888
claude-sonnet-4-5,11,10140.840405
buynhold_btc,11,10013.36805
grok-4,12,10131.707703
gpt-5,12,9584.048258
gemini-2.5-pro,12,9427.060332
qwen3-max,12,9441.992307
deepseek-chat-v3.1,12,10681.947216
claude-sonnet-4-5,12,10143.396043
buynhold_btc,12,10005.182425
gpt-5,13,9350.933358
grok-4,13,10250.874356
gemini-2.5-pro,13,9166.037623
qwen3-max,13,9541.722641
deepseek-chat-v3.1,13,10961.457491
claude-sonnet-4-5,13,10215.573469
buynhold_btc,13,10008.7841
gpt-5,14,9379.643485
gemini-2.5-pro,14,9280.612821
grok-4,14,10076.25527
qwen3-max,14,9492.733778
deepseek-chat-v3.1,14,10768.752892
claude-sonnet-4-5,14,10126.315525
buynhold_btc,14,9990.72895
gpt-5,15,9782.662992
grok-4,15,9892.518888
gemini-2.5-pro,15,9571.20555
qwen3-max,15,9460.465872
deepseek-chat-v3.1,15,10581.676266
claude-sonnet-4-5,15,10056.108763
buynhold_btc,15,10011.2164
gpt-5,16,9632.31522
gemini-2.5-pro,16,9419.690429
grok-4,16,10140.157186
deepseek-chat-v3.1,16,10756.886753
qwen3-max,16,9566.357218
claude-sonnet-4-5,16,10077.285963
buynhold_btc,16,9991.66445
gpt-5,17,9743.865009
grok-4,17,10099.418106
gemini-2.5-pro,17,9570.586021
qwen3-max,17,9512.088999
deepseek-chat-v3.1,17,10622.918856
claude-sonnet-4-5,17,10008.52159
buynhold_btc,17,9970.8028
gpt-5,18,9975.506847
grok-4,18,9876.483944
gemini-2.5-pro,18,9831.694244
deepseek-chat-v3.1,18,10340.793502
qwen3-max,18,9338.142347
claude-sonnet-4-5,18,10015.16533
buynhold_btc,18,9993.53545
gpt-5,19,9481.813577
gemini-2.5-pro,19,9243.742384
grok-4,19,10343.432624
qwen3-max,19,9467.794513
deepseek-chat-v3.1,19,11012.263802
claude-sonnet-4-5,19,10101.88945
buynhold_btc,19,9992.8806
gpt-5,20,9479.899745
grok-4,20,10285.401657
gemini-2.5-pro,20,9354.900776
qwen3-max,20,9441.246871
deepseek-chat-v3.1,20,10910.481912
claude-sonnet-4-5,20,10086.854276
buynhold_btc,20,10001.6743
gpt-5,21,9337.355019
gemini-2.5-pro,21,9153.927356
grok-4,21,10409.828395
qwen3-max,21,9526.457953
deepseek-chat-v3.1,21,10940.586495
claude-sonnet-4-5,21,10127.620116
buynhold_btc,21,10023.84565
gpt-5,22,9330.079047
gemini-2.5-pro,22,9304.149101
grok-4,22,10379.132885
qwen3-max,22,9506.069349
deepseek-chat-v3.1,22,10937.518673
claude-sonnet-4-5,22,10034.640401
buynhold_btc,22,10020.29075
gpt-5,23,9356.386804
deepseek-chat-v3.1,23,10929.779239
gemini-2.5-pro,23,9252.100828
grok-4,23,10465.222689
qwen3-max,23,9579.399876
claude-sonnet-4-5,23,10093.489184
buynhold_btc,23,10024.453725
gpt-5,24,9407.583155
grok-4,24,10389.314833
gemini-2.5-pro,24,9331.476958
qwen3-max,24,9544.050689
deepseek-chat-v3.1,24,10940.858317
claude-sonnet-4-5,24,10089.861765
buynhold_btc,24,10016.36165
gpt-5,25,9360.831615
gemini-2.5-pro,25,9207.664684
grok-4,25,10515.171968
qwen3-max,25,9592.741199
deepseek-chat-v3.1,25,10907.022861
claude-sonnet-4-5,25,10045.410303
buynhold_btc,25,10001.3001
gpt-5,26,9856.951615
gemini-2.5-pro,26,9738.780284
grok-4,26,10073.781467
qwen3-max,26,9437.713266
deepseek-chat-v3.1,26,10429.33203
claude-sonnet-4-5,26,9957.618814
buynhold_btc,26,9998.02585
gpt-5,27,9778.525159
grok-4,27,10191.07675
gemini-2.5-pro,27,9625.491126
qwen3-max,27,9473.644915
deepseek-chat-v3.1,27,10545.081001
claude-sonnet-4-5,27,10005.64006
buynhold_btc,27,9992.41285
gpt-5,28,9840.528299
gemini-2.5-pro,28,9718.777652
grok-4,28,10145.954207
qwen3-max,28,9426.417235
deepseek-chat-v3.1,28,10548.018667
claude-sonnet-4-5,28,9971.068834
buynhold_btc,28,10028.9909
gpt-5,29,9215.019229
gemini-2.5-pro,29,9095.799512
grok-4,29,10574.862864
qwen3-max,29,9589.067223
deepseek-chat-v3.1,29,10973.702129
claude-sonnet-4-5,29,10061.449761
buynhold_btc,29,10015.98745
gpt-5,30,9373.084456
grok-4,30,10492.866489
gemini-2.5-pro,30,9239.856175
deepseek-chat-v3.1,30,10997.351674
qwen3-max,30,9506.525209
claude-sonnet-4-5,30,10082.115761
buynhold_btc,30,10007.1002
gpt-5,31,9512.068853
gemini-2.5-pro,31,9394.583575
grok-4,31,10405.854768
deepseek-chat-v3.1,31,10886.021537
qwen3-max,31,9443.682059
claude-sonnet-4-5,31,10041.869647
buynhold_btc,31,9973.2351
gpt-5,32,9758.164012
gemini-2.5-pro,32,9655.746216
grok-4,32,10140.496129
qwen3-max,32,9385.604198
deepseek-chat-v3.1,32,10659.99946
claude-sonnet-4-5,32,10040.937773
buynhold_btc,32,9988.67085
gpt-5,33,9692.387054
gemini-2.5-pro,33,9601.118848
grok-4,33,10255.219736
deepseek-chat-v3.1,33,10742.905284
qwen3-max,33,9397.350757
claude-sonnet-4-5,33,10033.857365
buynhold_btc,33,9960.60585
gpt-5,34,10202.259962
gemini-2.5-pro,34,10162.029324
grok-4,34,9699.308579
deepseek-chat-v3.1,34,10228.008311
qwen3-max,34,9253.672151
claude-sonnet-4-5,34,9899.742669
buynhold_btc,34,9952.0928
gpt-5,35,9128.474946
gemini-2.5-pro,35,8868.574277
grok-4,35,10849.311406
qwen3-max,35,9745.403212
deepseek-chat-v3.1,35,11118.589231
claude-sonnet-4-5,35,10087.755558
buynhold_btc,35,10070.7142
gpt-5,36,8499.825103
gemini-2.5-pro,36,8346.29791
grok-4,36,11376.175579
qwen3-max,36,9896.518187
deepseek-chat-v3.1,36,11725.622558
claude-sonnet-4-5,36,10260.75279
buynhold_btc,36,10090.07905
gpt-5,37,8613.762943
gemini-2.5-pro,37,8670.3005
grok-4,37,11119.98155
qwen3-max,37,9821.786058
deepseek-chat-v3.1,37,11473.929697
claude-sonnet-4-5,37,10147.215948
buynhold_btc,37,10069.0303
gpt-5,38,8712.351861
gemini-2.5-pro,38,8731.197318
grok-4,38,11121.28932
qwen3-max,38,9752.55428
deepseek-chat-v3.1,38,11398.512374
claude-sonnet-4-5,38,10129.730496
buynhold_btc,38,10072.86585
gpt-5,39,7811.409196
gemini-2.5-pro,39,7770.860121
grok-4,39,11738.715762
qwen3-max,39,10065.750722
deepseek-chat-v3.1,39,12121.612191
claude-sonnet-4-5,39,10258.677658
buynhold_btc,39,10125.25385
gpt-5,40,7580.22215
grok-4,40,12101.706392
gemini-2.5-pro,40,7385.928199
qwen3-max,40,9584.015624
deepseek-chat-v3.1,40,12677.885257
claude-sonnet-4-5,40,10563.174306
buynhold_btc,40,10134.60885
gpt-5,41,7804.738114
grok-4,41,11989.755179
gemini-2.5-pro,41,7564.845253
qwen3-max,41,9584.017986
deepseek-chat-v3.1,41,12424.225503
claude-sonnet-4-5,41,10441.109574
buynhold_btc,41,10136.5734
gpt-5,42,7690.573907
gemini-2.5-pro,42,7516.297423
grok-4,42,12083.294593
qwen3-max,42,9584.017009
deepseek-chat-v3.1,42,12607.226667
claude-sonnet-4-5,42,10911.682999
buynhold_btc,42,10206.3617
gpt-5,43,7567.379906
grok-4,43,12220.309193
gemini-2.5-pro,43,6670.637069
qwen3-max,43,9584.016991
deepseek-chat-v3.1,43,12615.110287
claude-sonnet-4-5,43,10850.620952
buynhold_btc,43,10221.79745
gpt-5,44,7519.668418
gemini-2.5-pro,44,6718.228975
grok-4,44,12229.483572
qwen3-max,44,9584.017134
deepseek-chat-v3.1,44,12649.045047
claude-sonnet-4-5,44,10852.835811
buynhold_btc,44,10182.88065
gpt-5,45,7564.154416
grok-4,45,12147.375784
gemini-2.5-pro,45,6491.82451
qwen3-max,45,9584.016894
deepseek-chat-v3.1,45,12318.229218
claude-sonnet-4-5,45,10789.285424
buynhold_btc,45,10176.14505
gpt-5,46,7488.467865
gemini-2.5-pro,46,6648.34321
grok-4,46,12285.560467
deepseek-chat-v3.1,46,12562.659731
qwen3-max,46,9584.016497
claude-sonnet-4-5,46,10737.032459
buynhold_btc,46,10168.3804
gpt-5,47,7539.86786
grok-4,47,12248.20123
gemini-2.5-pro,47,6565.020991
qwen3-max,47,9584.017698
deepseek-chat-v3.1,47,12374.271476
claude-sonnet-4-5,47,10856.580008
buynhold_btc,47,10217.4006
gpt-5,48,7561.549355
grok-4,48,12433.951814
gemini-2.5-pro,48,6605.947219
qwen3-max,48,9584.01822
deepseek-chat-v3.1,48,12466.809841
claude-sonnet-4-5,48,10717.191886
buynhold_btc,48,10163.1416
gpt-5,49,7592.257061
gemini-2.5-pro,49,6309.954396
grok-4,49,11809.810251
qwen3-max,49,9584.021179
deepseek-chat-v3.1,49,11790.561917
claude-sonnet-4-5,49,10351.011102
buynhold_btc,49,10078.3853
gpt-5,50,7583.099513
gemini-2.5-pro,50,5897.566376
grok-4,50,11379.60164
qwen3-max,50,9751.321173
deepseek-chat-v3.1,50,11370.957955
claude-sonnet-4-5,50,10113.196996
buynhold_btc,50,10097.6566
gpt-5,51,7667.527644
gemini-2.5-pro,51,5681.302586
grok-4,51,11212.755137
qwen3-max,51,9695.0135
deepseek-chat-v3.1,51,11151.095619
claude-sonnet-4-5,51,9988.636078
buynhold_btc,51,10168.5675
gpt-5,52,7629.265896
grok-4,52,11697.382268
gemini-2.5-pro,52,5744.85004
deepseek-chat-v3.1,52,11820.222858
qwen3-max,52,10031.405739
claude-sonnet-4-5,52,10501.429909
buynhold_btc,52,10176.0515
gpt-5,53,7523.873964
gemini-2.5-pro,53,6635.1309
grok-4,53,13048.094989
qwen3-max,53,10662.317469
deepseek-chat-v3.1,53,13591.318679
claude-sonnet-4-5,53,11757.542636
buynhold_btc,53,10308.23765
gpt-5,54,7510.287802
gemini-2.5-pro,54,6847.583294
grok-4,54,13219.86326
qwen3-max,54,10769.510038
deepseek-chat-v3.1,54,13657.454795
claude-sonnet-4-5,54,11953.239461
buynhold_btc,54,10363.05795
gpt-5,55,7531.807564
grok-4,55,13648.755421
gemini-2.5-pro,55,7031.2513
qwen3-max,55,10932.633348
deepseek-chat-v3.1,55,14174.90315
claude-sonnet-4-5,55,12490.720544
buynhold_btc,55,10401.1328
gpt-5,56,7541.538881
gemini-2.5-pro,56,7184.818515
grok-4,56,13815.455619
qwen3-max,56,10971.643189
deepseek-chat-v3.1,56,14244.369627
claude-sonnet-4-5,56,12470.347738
buynhold_btc,56,10400.0102
gpt-5,57,7422.536185
gemini-2.5-pro,57,7049.024151
grok-4,57,13670.157788
qwen3-max,57,10893.362273
deepseek-chat-v3.1,57,13991.609904
claude-sonnet-4-5,57,12393.213099
buynhold_btc,57,10414.9782
gpt-5,58,7382.586964
gemini-2.5-pro,58,6971.211093
grok-4,58,13495.904813
qwen3-max,58,10819.863876
deepseek-chat-v3.1,58,13926.527643
claude-sonnet-4-5,58,12427.292355
buynhold_btc,58,10368.48385
gpt-5,59,7364.352681
gemini-2.5-pro,59,6962.303141
grok-4,59,13623.375953
qwen3-max,59,10847.701088
deepseek-chat-v3.1,59,13989.972226
claude-sonnet-4-5,59,12439.477674
buynhold_btc,59,10385.229299999999
gpt-5,60,7233.773873
grok-4,60,13168.126298
gemini-2.5-pro,60,6756.659206
qwen3-max,60,10720.096839
deepseek-chat-v3.1,60,13518.417865
claude-sonnet-4-5,60,12329.354597
buynhold_btc,60,10356.0417
gpt-5,61,7248.94558
gemini-2.5-pro,61,6791.357639
grok-4,61,13219.080381
qwen3-max,61,10822.382202
deepseek-chat-v3.1,61,13677.567408
claude-sonnet-4-5,61,12338.551675
buynhold_btc,61,10387.8487
gpt-5,62,7210.886329
grok-4,62,13345.021279
gemini-2.5-pro,62,6792.101716
deepseek-chat-v3.1,62,13795.215471
qwen3-max,62,10926.78722
claude-sonnet-4-5,62,12412.389521
buynhold_btc,62,10375.21945
gpt-5,63,7291.406524
grok-4,63,13471.343132
gemini-2.5-pro,63,6868.30337
deepseek-chat-v3.1,63,13659.153612
qwen3-max,63,10883.852079
claude-sonnet-4-5,63,12392.311342
buynhold_btc,63,10385.229299999999
gpt-5,64,7259.280107
grok-4,64,13353.835132
gemini-2.5-pro,64,6878.738604
qwen3-max,64,10856.816912
deepseek-chat-v3.1,64,13713.025182
claude-sonnet-4-5,64,12561.489762
buynhold_btc,64,10416.39105
gpt-5,65,7230.488135
gemini-2.5-pro,65,6629.361344
deepseek-chat-v3.1,65,12610.87722
grok-4,65,12314.778123
qwen3-max,65,10104.508242
claude-sonnet-4-5,65,12083.932362
buynhold_btc,65,10363.7224
gpt-5,66,6839.841122
grok-4,66,12185.459554
gemini-2.5-pro,66,6261.718529
qwen3-max,66,9850.932057
deepseek-chat-v3.1,66,12760.91383
claude-sonnet-4-5,66,11940.197242
buynhold_btc,66,10284.48555
gpt-5,67,6833.455864
gemini-2.5-pro,67,6241.770114
grok-4,67,12105.57185
qwen3-max,67,9659.423992
deepseek-chat-v3.1,67,12670.021217
claude-sonnet-4-5,67,12093.082178
buynhold_btc,67,10364.845
gpt-5,68,7025.262754
gemini-2.5-pro,68,6398.902607
grok-4,68,12451.117071
deepseek-chat-v3.1,68,12892.318674
qwen3-max,68,9890.162268
claude-sonnet-4-5,68,12225.710047
buynhold_btc,68,10376.16455
gpt-5,69,7222.145531
gemini-2.5-pro,69,6501.302112
grok-4,69,12607.77789
qwen3-max,69,9854.176091
deepseek-chat-v3.1,69,13157.535274
claude-sonnet-4-5,69,12561.244122
buynhold_btc,69,10388.2325
gpt-5,70,7267.859564
gemini-2.5-pro,70,6642.836266
grok-4,70,13050.225673
qwen3-max,70,9972.433447
deepseek-chat-v3.1,70,13521.079316
claude-sonnet-4-5,70,12808.029741
buynhold_btc,70,10361.38365
gpt-5,71,6993.435933
gemini-2.5-pro,71,6441.431435
grok-4,71,12531.94265
qwen3-max,71,9682.866271
deepseek-chat-v3.1,71,12982.608035
claude-sonnet-4-5,71,12428.654971
buynhold_btc,71,10368.68055
gpt-5,72,7184.090057
gemini-2.5-pro,72,6466.78132
grok-4,72,12868.699842
qwen3-max,72,9833.871564
deepseek-chat-v3.1,72,13393.238534
claude-sonnet-4-5,72,12457.91582
buynhold_btc,72,10348.006
gpt-5,73,7095.322466
grok-4,73,12649.9581
gemini-2.5-pro,73,6429.470239
qwen3-max,73,9688.621401
deepseek-chat-v3.1,73,12996.334632
claude-sonnet-4-5,73,12308.831722
buynhold_btc,73,10326.77015
gpt-5,74,7056.885026
grok-4,74,12585.317769
gemini-2.5-pro,74,6405.256934
qwen3-max,74,9706.474701
deepseek-chat-v3.1,74,12874.279844
claude-sonnet-4-5,74,12195.929828
buynhold_btc,74,10309.18275
gpt-5,75,6731.689593
grok-4,75,11914.834126
gemini-2.5-pro,75,6307.209467
qwen3-max,75,9392.723014
deepseek-chat-v3.1,75,12286.82663
claude-sonnet-4-5,75,11775.626322
buynhold_btc,75,10256.327
gpt-5,76,6552.942668
grok-4,76,11467.301551
gemini-2.5-pro,76,6174.634829
deepseek-chat-v3.1,76,12137.99081
qwen3-max,76,9291.804153
claude-sonnet-4-5,76,11783.647597
buynhold_btc,76,10248.93655
gpt-5,77,6488.684009
gemini-2.5-pro,77,6211.879349
grok-4,77,11259.220754
qwen3-max,77,9068.48636
deepseek-chat-v3.1,77,11490.664916
claude-sonnet-4-5,77,11154.469717
buynhold_btc,77,10097.1049
gpt-5,78,6066.329248
gemini-2.5-pro,78,6357.041862
grok-4,78,10176.973488
qwen3-max,78,8595.05507
deepseek-chat-v3.1,78,10901.498938
claude-sonnet-4-5,78,10952.650681
buynhold_btc,78,10056.97195
gpt-5,79,6017.965649
grok-4,79,10095.279689
gemini-2.5-pro,79,6389.679097
qwen3-max,79,8342.300944
deepseek-chat-v3.1,79,10952.815009
claude-sonnet-4-5,79,10910.864597
buynhold_btc,79,10101.12755
gpt-5,80,5981.205707
grok-4,80,10365.422705
gemini-2.5-pro,80,6202.44515
qwen3-max,80,8606.30693
deepseek-chat-v3.1,80,11288.780823
claude-sonnet-4-5,80,11071.830473
buynhold_btc,80,10099.44365
gpt-5,81,5940.149735
gemini-2.5-pro,81,6114.62663
grok-4,81,10509.417407
qwen3-max,81,8696.619567
deepseek-chat-v3.1,81,11336.770109
claude-sonnet-4-5,81,11050.821931
buynhold_btc,81,10068.01085
gpt-5,82,5958.425722
gemini-2.5-pro,82,6425.533369
grok-4,82,10096.214476
qwen3-max,82,8460.331839
deepseek-chat-v3.1,82,10968.57365
claude-sonnet-4-5,82,10864.999721
buynhold_btc,82,10076.61745
gpt-5,83,5970.958883
gemini-2.5-pro,83,6428.842182
grok-4,83,10166.984689
qwen3-max,83,8491.628003
deepseek-chat-v3.1,83,11078.942868
claude-sonnet-4-5,83,10926.434941
buynhold_btc,83,10106.4599
gpt-5,84,5590.888056
grok-4,84,10631.704909
gemini-2.5-pro,84,6107.949246
qwen3-max,84,8982.657941
deepseek-chat-v3.1,84,11402.144972
claude-sonnet-4-5,84,10961.040122
buynhold_btc,84,10153.14135
gpt-5,85,5488.69971
gemini-2.5-pro,85,5989.6069
grok-4,85,10771.800035
qwen3-max,85,9137.887149
deepseek-chat-v3.1,85,11584.495239
claude-sonnet-4-5,85,11151.609558
buynhold_btc,85,10205.2487
gpt-5,86,5298.65405
gemini-2.5-pro,86,5942.082494
grok-4,86,10893.358552
deepseek-chat-v3.1,86,11683.91423
qwen3-max,86,9300.414423
claude-sonnet-4-5,86,11015.643682
buynhold_btc,86,10182.32895
gpt-5,87,5439.884682
gemini-2.5-pro,87,6222.2493
grok-4,87,10537.30564
qwen3-max,87,9148.315027
deepseek-chat-v3.1,87,11443.980785
claude-sonnet-4-5,87,11230.596151
buynhold_btc,87,10286.91785
gemini-2.5-pro,88,5266.04434
gpt-5,88,4715.221601
grok-4,88,13754.018271
deepseek-chat-v3.1,88,13838.389354
qwen3-max,88,10981.867032
claude-sonnet-4-5,88,12239.026501
buynhold_btc,88,10590.20695
gpt-5,89,4613.609251
gemini-2.5-pro,89,5677.541785
grok-4,89,15037.148417
qwen3-max,89,11619.35411
deepseek-chat-v3.1,89,15038.931689
claude-sonnet-4-5,89,12298.249674
buynhold_btc,89,10638.47875
gpt-5,90,4492.395491
gemini-2.5-pro,90,5365.575292
grok-4,90,13870.980503
qwen3-max,90,11203.845366
deepseek-chat-v3.1,90,13810.050062
claude-sonnet-4-5,90,12253.16239
buynhold_btc,90,10514.945975
gpt-5,91,4534.624295
gemini-2.5-pro,91,5493.704466
deepseek-chat-v3.1,91,13932.955073
grok-4,91,13761.590398
qwen3-max,91,11020.662554
claude-sonnet-4-5,91,12281.972062
buynhold_btc,91,10435.10105
gpt-5,92,4618.694029
gemini-2.5-pro,92,5550.703417
grok-4,92,13672.620645
qwen3-max,92,11045.264222
deepseek-chat-v3.1,92,13849.18366
claude-sonnet-4-5,92,12294.092493
buynhold_btc,92,10452.0336
gpt-5,93,4605.728393
gemini-2.5-pro,93,5356.980794
grok-4,93,13452.783967
qwen3-max,93,10928.020366
deepseek-chat-v3.1,93,13611.74336
claude-sonnet-4-5,93,11547.940711
buynhold_btc,93,10379.204925
gpt-5,94,4280.868635
gemini-2.5-pro,94,4852.539831
grok-4,94,12536.245379
deepseek-chat-v3.1,94,13022.400249
qwen3-max,94,10567.635013
claude-sonnet-4-5,94,10931.072639
buynhold_btc,94,10357.033575
gpt-5,95,4243.490863
gemini-2.5-pro,95,4852.610116
grok-4,95,12522.370339
qwen3-max,95,10677.68639
deepseek-chat-v3.1,95,12835.547895
claude-sonnet-4-5,95,10096.775007
buynhold_btc,95,10182.4225
gpt-5,96,3894.263424
gemini-2.5-pro,96,4492.472909
grok-4,96,11132.799614
qwen3-max,96,9999.672115
deepseek-chat-v3.1,96,11949.217048
claude-sonnet-4-5,96,8723.582813
buynhold_btc,96,10121.848875
gpt-5,97,3656.865352
gemini-2.5-pro,97,4414.444175
grok-4,97,10450.276841
deepseek-chat-v3.1,97,11279.540848
qwen3-max,97,10088.897712
claude-sonnet-4-5,97,8636.982901
buynhold_btc,97,10100.2856
gpt-5,98,3582.863194
gemini-2.5-pro,98,4506.176466
grok-4,98,10333.122852
deepseek-chat-v3.1,98,11139.669464
qwen3-max,98,10290.752296
claude-sonnet-4-5,98,8628.779366
buynhold_btc,98,10124.0473
gpt-5,99,3662.774329
grok-4,99,10721.614314
gemini-2.5-pro,99,4310.399525
qwen3-max,99,10191.468139
deepseek-chat-v3.1,99,11442.583479
claude-sonnet-4-5,99,8640.676603
buynhold_btc,99,10135.8346
gpt-5,100,3637.169756
gemini-2.5-pro,100,4326.447717
grok-4,100,10514.80099
qwen3-max,100,10330.95
deepseek-chat-v3.1,100,11268.559871
claude-sonnet-4-5,100,8575.652349
buynhold_btc,100,10105.05665
gpt-5,101,3594.592137
gemini-2.5-pro,101,4365.706157
grok-4,101,10421.832358
qwen3-max,101,10338.250606
deepseek-chat-v3.1,101,11344.059061
claude-sonnet-4-5,101,8695.420073
buynhold_btc,101,10155.76075
gpt-5,102,3654.107307
gemini-2.5-pro,102,4248.961834
grok-4,102,10650.95572
qwen3-max,102,10352.773781
deepseek-chat-v3.1,102,11518.52304
claude-sonnet-4-5,102,8668.966569
buynhold_btc,102,10101.50175
gpt-5,103,3525.515381
gemini-2.5-pro,103,4441.876539
grok-4,103,10045.909635
qwen3-max,103,10703.488358
deepseek-chat-v3.1,103,10969.464429
claude-sonnet-4-5,103,8383.008103
buynhold_btc,103,10107.3954
gpt-5,104,3509.967185
gemini-2.5-pro,104,4447.617079
grok-4,104,10013.11332
