Name,Total Value,% of total,parent2,parent1,derived_author,merged_modality,total_downloads,color_code,color,org_color,country_color
Qwen/Qwen2.5-VL-3B-Instruct,308015327,5.37,China,Qwen,Qwen,Image + Text --> Text,308015327.0,#6A5ACD,#6A5ACD,#6A5ACD,#E31A1C
Qwen/Qwen3-0.6B,252692155,4.41,China,Qwen,Qwen,Text --> Text,252692155.0,#6A5ACD,#6A5ACD,#6A5ACD,#E31A1C
Qwen/Qwen2.5-VL-7B-Instruct,222832224,3.89,China,Qwen,Qwen,Image + Text + Video --> Image Embed/Class + Text Embed/Class,222832224.0,#6A5ACD,#6A5ACD,#6A5ACD,#E31A1C
ByteDance/AnimateDiff-Lightning,217360886,3.79,China,ByteDance,ByteDance,Text --> Video,217360886.0,#1E90FF,#1E90FF,#1E90FF,#E31A1C
Gensyn/Qwen2.5-0.5B-Instruct,205164304,3.58,International/Online,Gensyn,Qwen,Text --> Text,205164304.0,#111111,#111111,#111111,#B15928
Kijai/WanVideo_comfy,196850758,3.43,user,Kijai,Wan-AI,Image --> Video,196850758.0,#6B7280,#6B7280,#6B7280,#999999
openai/whisper-large-v3-turbo,178907524,3.12,United States of America,openai,openai,Audio --> Text,178907524.0,#10A37F,#10A37F,#10A37F,#1F78B4
hexgrad/Kokoro-82M,174629703,3.05,user,hexgrad,hexgrad,Text --> Audio,174629703.0,#111827,#111827,#111827,#999999
Qwen/Qwen3-Embedding-0.6B,173035654,3.02,China,Qwen,Qwen,Text --> Text Embed/Class,173035654.0,#6A5ACD,#6A5ACD,#6A5ACD,#E31A1C
unslothai/1,168921555,2.95,United States of America,unsloth,unsloth,Undocumented --> Undocumented,168921555.0,#F97316,#F97316,#F97316,#1F78B4
meta-llama/Llama-3.1-8B-Instruct,167351771,2.92,United States of America,facebook,facebook,Text --> Text,167351771.0,#1877F2,#1877F2,#1877F2,#1F78B4
Comfy-Org/Wan_2.1_ComfyUI_repackaged,164439151,2.87,United States of America,comfy,comfy,Text --> Image,164439151.0,#9333EA,#9333EA,#9333EA,#1F78B4
Qwen/Qwen3-8B,157912783,2.75,China,Qwen,Qwen,Text --> Text,157912783.0,#6A5ACD,#6A5ACD,#6A5ACD,#E31A1C
stable-diffusion-v1-5/stable-diffusion-v1-5,144477124,2.52,United Kingdom,stable-diffusion,CompVis,Text --> Image,144477124.0,#8B5CF6,#8B5CF6,#8B5CF6,#6A3D9A
Qwen/Qwen2.5-7B-Instruct,143088575,2.5,China,Qwen,Qwen,Text --> Text,143088575.0,#6A5ACD,#6A5ACD,#6A5ACD,#E31A1C
meta-llama/Llama-3.2-1B,124583479,2.17,United States of America,facebook,facebook,Text --> Text,124583479.0,#1877F2,#1877F2,#1877F2,#1F78B4
meta-llama/Llama-3.2-1B-Instruct,108834312,1.9,United States of America,facebook,facebook,Text --> Text,108834312.0,#1877F2,#1877F2,#1877F2,#1F78B4
Qwen/Qwen3-32B,102760401,1.79,China,Qwen,Qwen,Text --> Text,102760401.0,#6A5ACD,#6A5ACD,#6A5ACD,#E31A1C
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,101903464,1.78,China,deepseek-ai,deepseek-ai,Text --> Text,101903464.0,#2563EB,#2563EB,#2563EB,#E31A1C
deepseek-ai/DeepSeek-R1,73158553,1.28,China,deepseek-ai,deepseek-ai,Text --> Text,73158553.0,#2563EB,#2563EB,#2563EB,#E31A1C
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,70893185,1.24,China,deepseek-ai,Qwen,Text --> Text,70893185.0,#2563EB,#2563EB,#2563EB,#E31A1C
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,69377244,1.21,China,deepseek-ai,facebook,Text --> Text,69377244.0,#2563EB,#2563EB,#2563EB,#E31A1C
meta-llama/Llama-3.2-3B-Instruct,66066910,1.15,United States of America,facebook,facebook,Text --> Text,66066910.0,#1877F2,#1877F2,#1877F2,#1F78B4
Qwen/Qwen2.5-1.5B-Instruct,65304296,1.14,China,Qwen,Qwen,Text --> Text,65304296.0,#6A5ACD,#6A5ACD,#6A5ACD,#E31A1C
unslothai/other,63752958,1.11,United States of America,unsloth,unsloth,Text --> Text,63752958.0,#F97316,#F97316,#F97316,#1F78B4
black-forest-labs/FLUX.1-dev,61273659,1.07,Germany,black-forest-labs,black-forest-labs,Text --> Image,61273659.0,#000000,#000000,#000000,#33A02C
unslothai/repeat,55097609,0.96,United States of America,unsloth,unsloth,Text --> Text Embed/Class,55097609.0,#F97316,#F97316,#F97316,#1F78B4
deepseek-ai/DeepSeek-V3,54097295,0.94,China,deepseek-ai,deepseek-ai,Text --> Text,54097295.0,#2563EB,#2563EB,#2563EB,#E31A1C
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,49082227,0.86,China,deepseek-ai,Qwen,Text --> Text,49082227.0,#2563EB,#2563EB,#2563EB,#E31A1C
MahmoudAshraf/mms-300m-1130-forced-aligner,44831478,0.78,user,MahmoudAshraf,facebook,Audio --> Undocumented,44831478.0,#6B7280,#6B7280,#6B7280,#999999
Qwen/Qwen2-VL-7B-Instruct,42334412,0.74,China,Qwen,Qwen,Image + Text + Video --> Text,42334412.0,#6A5ACD,#6A5ACD,#6A5ACD,#E31A1C
Alibaba-NLP/gte-large-en-v1.5,40360078,0.7,China,Alibaba-NLP,Alibaba-NLP,Text --> Text Embed/Class,40360078.0,#FF6A00,#FF6A00,#FF6A00,#E31A1C
Qwen/Qwen2.5-0.5B-Instruct,37248831,0.65,China,Qwen,Qwen,Text --> Text,37248831.0,#6A5ACD,#6A5ACD,#6A5ACD,#E31A1C
microsoft/phi-4,37221410,0.65,United States of America,microsoft,microsoft,Text --> Text,37221410.0,#737373,#737373,#737373,#1F78B4
Qwen/Qwen2-VL-2B-Instruct,36640021,0.64,China,Qwen,Qwen,Image + Text --> Text,36640021.0,#6A5ACD,#6A5ACD,#6A5ACD,#E31A1C
bartowski/DeepSeek-R1-Distill-Qwen-14B-GGUF,36452346,0.64,user,bartowski,Qwen,Text --> Text,36452346.0,#6B7280,#6B7280,#6B7280,#999999
amazon/chronos-t5-small,35892265,0.63,United States of America,amazon,amazon,Tabular --> Tabular,35892265.0,#FF9900,#FF9900,#FF9900,#1F78B4
SWivid/F5-TTS,35859830,0.63,user,SWivid,SWivid,Text --> Audio,35859830.0,#0EA5E9,#0EA5E9,#0EA5E9,#999999
unsloth/DeepSeek-R1-GGUF,33575184,0.59,United States of America,unsloth,deepseek-ai,Text --> Text,33575184.0,#F97316,#F97316,#F97316,#1F78B4
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,33259787,0.58,China,deepseek-ai,deepseek-ai,Text --> Text,33259787.0,#2563EB,#2563EB,#2563EB,#E31A1C
unslothai/vram-16,33005763,0.58,United States of America,unsloth,unsloth,Text --> Text,33005763.0,#F97316,#F97316,#F97316,#1F78B4
ResembleAI/chatterbox,31969029,0.56,user,ResembleAI,ResembleAI,Text --> Audio,31969029.0,#0F172A,#0F172A,#0F172A,#999999
black-forest-labs/FLUX.1-schnell,30887605,0.54,Germany,black-forest-labs,black-forest-labs,Text --> Image,30887605.0,#000000,#000000,#000000,#33A02C
meta-llama/Llama-3.1-8B,29235570,0.51,United States of America,facebook,facebook,Text --> Text,29235570.0,#1877F2,#1877F2,#1877F2,#1F78B4
microsoft/Phi-4-multimodal-instruct,28050792,0.49,United States of America,microsoft,microsoft,Audio + Image + Text --> Text,28050792.0,#737373,#737373,#737373,#1F78B4
microsoft/Florence-2-large,27970979,0.49,United States of America,microsoft,microsoft,Image + Text --> Image Embed/Class + Text,27970979.0,#737373,#737373,#737373,#1F78B4
mlx-community/Llama-3.2-1B-Instruct-4bit,27241346,0.48,International/Online,mlx-community,mlx-community,Text --> Text,27241346.0,#111827,#111827,#111827,#B15928
mistralai/Mistral-7B-Instruct-v0.3,26847725,0.47,France,mistralai,mistralai,Text --> Text,26847725.0,#FF4B4B,#FF4B4B,#FF4B4B,#FF7F00
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,25670240,0.45,China,deepseek-ai,Qwen,Text --> Text,25670240.0,#2563EB,#2563EB,#2563EB,#E31A1C
meta-llama/Meta-Llama-3-8B-Instruct,23349291,0.41,United States of America,facebook,facebook,Text --> Text,23349291.0,#1877F2,#1877F2,#1877F2,#1F78B4
google/siglip2-base-patch16-naflex,23125210,0.4,United States of America,google,google,Image + Text --> Image Embed/Class,23125210.0,#4285F4,#4285F4,#4285F4,#1F78B4
ZhengPeng7/BiRefNet,21026665,0.37,user,ZhengPeng7,ZhengPeng7,Image --> Image,21026665.0,#6B7280,#6B7280,#6B7280,#999999
lpiccinelli/unik3d-vitl,20982083,0.37,user,lpiccinelli,lpiccinelli,Image --> Image,20982083.0,#6B7280,#6B7280,#6B7280,#999999
Bingsu/yolo-world-mirror,20790847,0.36,user,Bingsu,Bingsu,Image + Text --> Image,20790847.0,#38BDF8,#38BDF8,#38BDF8,#999999
deepseek-ai/DeepSeek-R1-0528,19593804,0.34,China,deepseek-ai,deepseek-ai,Text --> Text,19593804.0,#2563EB,#2563EB,#2563EB,#E31A1C
briaai/RMBG-2.0,18988522,0.33,Israel,briaai,briaai,Image --> Image,18988522.0,#2563EB,#2563EB,#2563EB,#A6CEE3
microsoft/Phi-3.5-vision-instruct,18839218,0.33,United States of America,microsoft,microsoft,Image + Text --> Text,18839218.0,#737373,#737373,#737373,#1F78B4
PaddlePaddle/UVDoc,18163283,0.32,user,PaddlePaddle,PaddlePaddle,Image --> Image,18163283.0,#0062FF,#0062FF,#0062FF,#999999
Qwen/Qwen2.5-32B-Instruct,17615547,0.31,China,Qwen,Qwen,Text --> Text,17615547.0,#6A5ACD,#6A5ACD,#6A5ACD,#E31A1C
ds4sd/docling-models,17539511,0.31,Switzerland,ds4sd,openai,Image + Text --> Image Embed/Class + Text Embed/Class,17539511.0,#0F766E,#0F766E,#0F766E,#FB9A99
mixedbread-ai/mxbai-embed-large-v1,16747177,0.29,Germany,mixedbread-ai,mixedbread-ai,Text --> Text Embed/Class,16747177.0,#F59E0B,#F59E0B,#F59E0B,#33A02C
PaddlePaddle/PP-LCNet_x1_0_doc_ori,15212844,0.27,user,PaddlePaddle,PaddlePaddle,Image --> Image Embed/Class,15212844.0,#0062FF,#0062FF,#0062FF,#999999
deepseek-ai/DeepSeek-V3-0324,15111110,0.26,China,deepseek-ai,deepseek-ai,Text --> Text,15111110.0,#2563EB,#2563EB,#2563EB,#E31A1C
bartowski/DeepSeek-R1-Distill-Qwen-32B-GGUF,14775157,0.26,user,bartowski,deepseek-ai,Text --> Text,14775157.0,#6B7280,#6B7280,#6B7280,#999999
Lightricks/LTX-Video,14318162,0.25,United States of America,Lightricks,Lightricks,Image + Text + Video --> Video,14318162.0,#7C3AED,#7C3AED,#7C3AED,#1F78B4
minishlab/potion-base-8M,13625338,0.24,user,minishlab,minishlab,Text --> Text Embed/Class,13625338.0,#111827,#111827,#111827,#999999
microsoft/Phi-3-mini-4k-instruct,13559712,0.24,United States of America,microsoft,microsoft,Text --> Text,13559712.0,#737373,#737373,#737373,#1F78B4
microsoft/Phi-3.5-mini-instruct,13378681,0.23,United States of America,microsoft,microsoft,Text --> Text,13378681.0,#737373,#737373,#737373,#1F78B4
black-forest-labs/FLUX.1-Kontext-dev,12991207,0.23,Germany,black-forest-labs,black-forest-labs,Image + Text --> Image,12991207.0,#000000,#000000,#000000,#33A02C
Comfy-Org/HiDream-I1_ComfyUI,12943920,0.23,United States of America,comfy,comfy,Text --> Image,12943920.0,#9333EA,#9333EA,#9333EA,#1F78B4
PaddlePaddle/PP-OCRv5_server_det,12910395,0.23,user,PaddlePaddle,PaddlePaddle,Image --> Image,12910395.0,#0062FF,#0062FF,#0062FF,#999999
lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-MLX-4bit,12373762,0.22,International/Online,lmstudio-community,Qwen,Text --> Text,12373762.0,#22C55E,#22C55E,#22C55E,#B15928
facebook/sam2-hiera-large,11905564,0.21,United States of America,facebook,facebook,Image + Video --> Image,11905564.0,#1877F2,#1877F2,#1877F2,#1F78B4
tencent/Hunyuan3D-2,11905338,0.21,China,tencent,tencent,Image + Text --> Undocumented,11905338.0,#0052D9,#0052D9,#0052D9,#E31A1C
Qwen/QwQ-32B,11823904,0.21,China,Qwen,Qwen,Text --> Text,11823904.0,#6A5ACD,#6A5ACD,#6A5ACD,#E31A1C
lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-MLX-8bit,11817321,0.21,International/Online,lmstudio-community,Qwen,Text --> Text,11817321.0,#22C55E,#22C55E,#22C55E,#B15928
Qwen/Qwen3-235B-A22B,11701585,0.2,China,Qwen,Qwen,Text --> Text,11701585.0,#6A5ACD,#6A5ACD,#6A5ACD,#E31A1C
jinaai/jina-clip-v1,11519157,0.2,Germany,jinaai,openai,Image + Text --> Image Embed/Class + Text,11519157.0,#0EA5E9,#0EA5E9,#0EA5E9,#33A02C
unsloth/Qwen3-30B-A3B-GGUF,11278031,0.2,United States of America,unsloth,Qwen,Text --> Text,11278031.0,#F97316,#F97316,#F97316,#1F78B4
stabilityai/stable-diffusion-3.5-medium,9832347,0.17,United Kingdom,stable-diffusion,stable-diffusion,Text --> Image,9832347.0,#8B5CF6,#8B5CF6,#8B5CF6,#6A3D9A
unslothai/colab,9732434,0.17,United States of America,unsloth,unsloth,Undocumented --> Undocumented,9732434.0,#F97316,#F97316,#F97316,#1F78B4
BAAI/bge-reranker-v2-m3,9328330,0.16,China,BAAI,BAAI,Text --> Text Embed/Class,9328330.0,#1D4ED8,#1D4ED8,#1D4ED8,#E31A1C
Comfy-Org/Lumina_Image_2.0_Repackaged,9005596,0.16,United States of America,comfy,comfy,Text --> Image,9005596.0,#9333EA,#9333EA,#9333EA,#1F78B4
mlx-community/gemma-3-12b-it-qat-4bit,8917940,0.16,International/Online,mlx-community,OpenGVLab,Image + Text --> Text,8917940.0,#111827,#111827,#111827,#B15928
meta-llama/Meta-Llama-3-8B,8711346,0.15,United States of America,facebook,facebook,Text --> Text,8711346.0,#1877F2,#1877F2,#1877F2,#1F78B4
microsoft/Florence-2-base,8640835,0.15,United States of America,microsoft,microsoft,Image + Text --> Image Embed/Class + Text,8640835.0,#737373,#737373,#737373,#1F78B4
BAAI/bge-m3,8632184,0.15,China,BAAI,BAAI,Text --> Text Embed/Class,8632184.0,#1D4ED8,#1D4ED8,#1D4ED8,#E31A1C
unsloth/DeepSeek-R1-0528-Qwen3-8B-GGUF,8588767,0.15,United States of America,unsloth,Qwen,Text --> Text,8588767.0,#F97316,#F97316,#F97316,#1F78B4
moonshotai/Kimi-K2-Instruct,8480945,0.15,user,moonshotai,moonshotai,Text --> Text,8480945.0,#9333EA,#9333EA,#9333EA,#999999
Snowflake/snowflake-arctic-embed-m,8421464,0.15,United States of America,Snowflake,intfloat,Text --> Text Embed/Class,8421464.0,#29B5E8,#29B5E8,#29B5E8,#1F78B4
nomic-ai/nomic-embed-text-v1.5,8404942,0.15,United States of America,nomic-ai,nomic-ai,Text --> Text Embed/Class,8404942.0,#111827,#111827,#111827,#1F78B4
BSC-LT/ALIA-40b,8156338,0.14,Spain,BSC-LT,BSC-LT,Text --> Text,8156338.0,#991B1B,#991B1B,#991B1B,#FDBF6F
deepseek-ai/Janus-Pro-7B,8099760,0.14,China,deepseek-ai,deepseek-ai,Image + Text --> Image + Text,8099760.0,#2563EB,#2563EB,#2563EB,#E31A1C
Comfy-Org/HunyuanVideo_repackaged,8023375,0.14,United States of America,comfy,comfy,Image + Text --> Video,8023375.0,#9333EA,#9333EA,#9333EA,#1F78B4
mlc-ai/Llama-3.2-1B-Instruct-q4f16_1-MLC,7835105,0.14,International/Online,mlc-ai,facebook,Text --> Text,7835105.0,#16A34A,#16A34A,#16A34A,#B15928
ByteDance/Hyper-SD,7767572,0.14,China,ByteDance,black-forest-labs,Text --> Image,7767572.0,#1E90FF,#1E90FF,#1E90FF,#E31A1C
Marqo/nsfw-image-detection-384,7602025,0.13,United States of America,Marqo,timm,Image --> Image Embed/Class,7602025.0,#2563EB,#2563EB,#2563EB,#1F78B4
mlx-community/Llama-3.2-3B-Instruct-4bit,7573907,0.13,International/Online,mlx-community,mlx-community,Text --> Text,7573907.0,#111827,#111827,#111827,#B15928
lmstudio-community/gemma-3n-E4B-it-MLX-4bit,7378765,0.13,International/Online,lmstudio-community,google,Audio + Image + Text + Video --> Text,7378765.0,#22C55E,#22C55E,#22C55E,#B15928
amazon/chronos-t5-tiny,7377856,0.13,United States of America,amazon,amazon,Tabular --> Tabular,7377856.0,#FF9900,#FF9900,#FF9900,#1F78B4
