author,likes,downloads,repo_count,date
Hugging Face,58,548380,100,2025-02-26
IPEC-COMMUNITY,4,184338,38,2025-02-26
physical-intelligence,5,6966,2,2025-02-26
yaak-ai,1,690,1,2025-02-26
Hugging Face,59,587599,100,2025-03-05
IPEC-COMMUNITY,5,313909,39,2025-03-05
physical-intelligence,5,8058,2,2025-03-05
yaak-ai,5,1445,2,2025-03-05
Hugging Face,59,605272,100,2025-03-12
IPEC-COMMUNITY,5,375923,39,2025-03-12
NVIDIA,4,106,3,2025-03-12
physical-intelligence,5,9645,2,2025-03-12
yaak-ai,26,2318,2,2025-03-12
Hugging Face,59,618805,100,2025-03-19
IPEC-COMMUNITY,5,494663,39,2025-03-19
NVIDIA,13,6472,3,2025-03-19
physical-intelligence,5,10733,2,2025-03-19
yaak-ai,33,3066,2,2025-03-19
Hugging Face,60,628000,100,2025-03-26
IPEC-COMMUNITY,5,587221,39,2025-03-26
NVIDIA,19,9532,3,2025-03-26
physical-intelligence,5,11859,2,2025-03-26
yaak-ai,33,3476,2,2025-03-26
Hugging Face,62,644565,100,2025-04-02
IPEC-COMMUNITY,5,801236,39,2025-04-02
NVIDIA,21,12501,3,2025-04-02
physical-intelligence,5,12705,2,2025-04-02
yaak-ai,33,3910,2,2025-04-02
Hugging Face,65,666420,100,2025-04-09
IPEC-COMMUNITY,6,1347335,39,2025-04-09
NVIDIA,25,21810,3,2025-04-09
physical-intelligence,5,14626,2,2025-04-09
yaak-ai,34,4450,2,2025-04-09
Hugging Face,69,706731,100,2025-04-16
IPEC-COMMUNITY,6,1704482,39,2025-04-16
NVIDIA,26,26622,3,2025-04-16
physical-intelligence,5,15883,2,2025-04-16
yaak-ai,34,4983,2,2025-04-16
Hugging Face,72,726487,100,2025-04-23
IPEC-COMMUNITY,8,1928333,39,2025-04-23
NVIDIA,27,32516,3,2025-04-23
physical-intelligence,5,17260,2,2025-04-23
yaak-ai,34,5332,2,2025-04-23
Hugging Face,74,734547,100,2025-04-30
IPEC-COMMUNITY,8,2077333,39,2025-04-30
NVIDIA,28,35719,3,2025-04-30
physical-intelligence,5,17622,2,2025-04-30
yaak-ai,34,5642,2,2025-04-30
Hugging Face,77,780640,100,2025-05-07
IPEC-COMMUNITY,9,2450382,39,2025-05-07
NVIDIA,29,50634,3,2025-05-07
physical-intelligence,9,18391,2,2025-05-07
yaak-ai,34,5895,2,2025-05-07
Hugging Face,77,799199,100,2025-05-14
IPEC-COMMUNITY,10,2923720,39,2025-05-14
NVIDIA,169,1509437,6,2025-05-14
physical-intelligence,9,20311,2,2025-05-14
yaak-ai,37,6277,2,2025-05-14
Hugging Face,79,830815,100,2025-05-21
IPEC-COMMUNITY,12,3151801,39,2025-05-21
NVIDIA,176,1805372,6,2025-05-21
physical-intelligence,10,21650,2,2025-05-21
yaak-ai,38,8946,2,2025-05-21
Hugging Face,81,857806,104,2025-05-28
IPEC-COMMUNITY,12,3257633,39,2025-05-28
NVIDIA,179,2038632,6,2025-05-28
physical-intelligence,12,22692,2,2025-05-28
yaak-ai,39,9434,2,2025-05-28
Ai2,2,180,1,2025-06-04
Hugging Face,87,973252,104,2025-06-04
IPEC-COMMUNITY,12,3360842,39,2025-06-04
NVIDIA,182,2155698,6,2025-06-04
physical-intelligence,12,24906,2,2025-06-04
yaak-ai,40,12253,2,2025-06-04
Ai2,2,368,1,2025-06-11
Hugging Face,92,1144832,104,2025-06-11
IPEC-COMMUNITY,12,3420845,39,2025-06-11
NVIDIA,194,2191397,9,2025-06-11
physical-intelligence,13,26031,2,2025-06-11
yaak-ai,41,13902,2,2025-06-11
Ai2,2,387,1,2025-06-18
Hugging Face,95,1172174,104,2025-06-18
IPEC-COMMUNITY,13,3469798,39,2025-06-18
NVIDIA,202,2244573,9,2025-06-18
physical-intelligence,15,27960,2,2025-06-18
yaak-ai,41,15348,2,2025-06-18
Ai2,2,387,1,2025-06-25
Hugging Face,99,1172174,104,2025-06-25
IPEC-COMMUNITY,11,3453953,37,2025-06-25
NVIDIA,206,2244573,9,2025-06-25
physical-intelligence,16,27960,2,2025-06-25
yaak-ai,42,15348,2,2025-06-25
Ai2,2,387,1,2025-07-02
Hugging Face,99,1172174,104,2025-07-02
IPEC-COMMUNITY,11,3453953,37,2025-07-02
NVIDIA,206,2244573,9,2025-07-02
physical-intelligence,16,27960,2,2025-07-02
yaak-ai,42,15348,2,2025-07-02
Ai2,2,740,1,2025-07-09
Hugging Face,104,1274116,104,2025-07-09
IPEC-COMMUNITY,12,3794392,33,2025-07-09
NVIDIA,216,2806041,9,2025-07-09
physical-intelligence,20,34668,2,2025-07-09
yaak-ai,42,79606,2,2025-07-09
Ai2,2,770,1,2025-07-16
Hugging Face,108,1329244,104,2025-07-16
IPEC-COMMUNITY,12,3919395,33,2025-07-16
NVIDIA,221,2872778,9,2025-07-16
behavior-1k,0,25,1,2025-07-16
physical-intelligence,22,37437,2,2025-07-16
yaak-ai,42,83484,2,2025-07-16
Ai2,3,795,1,2025-07-23
Hugging Face,111,1377137,104,2025-07-23
IPEC-COMMUNITY,12,3981675,32,2025-07-23
NVIDIA,229,3013457,9,2025-07-23
behavior-1k,0,85,1,2025-07-23
physical-intelligence,22,38726,2,2025-07-23
yaak-ai,42,85386,2,2025-07-23
Ai2,4,839,1,2025-07-30
Hugging Face,116,1402159,104,2025-07-30
IPEC-COMMUNITY,12,3998914,32,2025-07-30
NVIDIA,239,3250329,9,2025-07-30
behavior-1k,0,96,1,2025-07-30
physical-intelligence,27,40351,2,2025-07-30
yaak-ai,42,85740,2,2025-07-30
Ai2,4,880,1,2025-08-06
Hugging Face,119,1423505,104,2025-08-06
IPEC-COMMUNITY,15,4009205,32,2025-08-06
NVIDIA,243,3344464,11,2025-08-06
behavior-1k,0,144,1,2025-08-06
physical-intelligence,28,41954,2,2025-08-06
yaak-ai,42,91386,2,2025-08-06
Ai2,22,8101,4,2025-08-13
Hugging Face,123,1439221,106,2025-08-13
IPEC-COMMUNITY,15,4037709,32,2025-08-13
NVIDIA,252,3407042,11,2025-08-13
behavior-1k,0,171,1,2025-08-13
physical-intelligence,29,43787,2,2025-08-13
yaak-ai,42,117451,2,2025-08-13
Ai2,25,24630,4,2025-08-20
Hugging Face,130,1460617,106,2025-08-20
IPEC-COMMUNITY,18,4084458,32,2025-08-20
NVIDIA,261,3503329,11,2025-08-20
behavior-1k,0,176,1,2025-08-20
physical-intelligence,31,45591,2,2025-08-20
yaak-ai,43,129281,2,2025-08-20
Ai2,29,31584,4,2025-08-27
Hugging Face,133,1479007,106,2025-08-27
IPEC-COMMUNITY,19,4166617,32,2025-08-27
NVIDIA,267,3603323,11,2025-08-27
behavior-1k,0,179,1,2025-08-27
physical-intelligence,31,47547,2,2025-08-27
yaak-ai,43,137363,2,2025-08-27
Ai2,31,51419,4,2025-09-03
Hugging Face,141,1499656,108,2025-09-03
IPEC-COMMUNITY,20,4709860,32,2025-09-03
NVIDIA,270,3815168,11,2025-09-03
behavior-1k,4,7310,1,2025-09-03
physical-intelligence,33,49843,2,2025-09-03
yaak-ai,43,147391,2,2025-09-03
Ai2,31,62253,4,2025-09-10
Hugging Face,145,1540917,109,2025-09-10
IPEC-COMMUNITY,22,5910359,32,2025-09-10
NVIDIA,272,4114194,11,2025-09-10
behavior-1k,5,17104,1,2025-09-10
physical-intelligence,33,53646,2,2025-09-10
yaak-ai,43,149815,2,2025-09-10
Ai2,33,70799,4,2025-09-17
Hugging Face,146,1571151,110,2025-09-17
IPEC-COMMUNITY,23,7366983,32,2025-09-17
InternRobotics,147,58006,6,2025-09-17
NVIDIA,274,4504249,11,2025-09-17
behavior-1k,7,26346,1,2025-09-17
physical-intelligence,37,58221,2,2025-09-17
yaak-ai,43,157188,3,2025-09-17
Ai2,36,77283,4,2025-09-24
Hugging Face,155,1603741,111,2025-09-24
IPEC-COMMUNITY,24,8575481,32,2025-09-24
InternRobotics,188,85257,7,2025-09-24
NVIDIA,275,4920035,11,2025-09-24
behavior-1k,9,86396,1,2025-09-24
physical-intelligence,41,63670,2,2025-09-24
yaak-ai,45,164676,3,2025-09-24
Ai2,36,90199,4,2025-10-01
Hugging Face,156,1634998,111,2025-10-01
IPEC-COMMUNITY,24,9281291,32,2025-10-01
InternRobotics,202,142425,7,2025-10-01
NVIDIA,278,5447255,11,2025-10-01
agibot-world,200,116478,1,2025-10-01
behavior-1k,14,160155,1,2025-10-01
physical-intelligence,42,67679,2,2025-10-01
yaak-ai,46,167690,3,2025-10-01
Ai2,36,92973,4,2025-10-08
Hugging Face,158,1652457,111,2025-10-08
IPEC-COMMUNITY,24,9357575,32,2025-10-08
InternRobotics,205,171166,7,2025-10-08
NVIDIA,280,5654625,11,2025-10-08
agibot-world,200,118324,1,2025-10-08
behavior-1k,14,195987,1,2025-10-08
physical-intelligence,43,69916,2,2025-10-08
yaak-ai,46,169875,3,2025-10-08
Ai2,37,97054,4,2025-10-15
Hugging Face,161,1681024,111,2025-10-15
IPEC-COMMUNITY,24,9495724,32,2025-10-15
InternRobotics,205,196280,7,2025-10-15
NVIDIA,287,5780720,11,2025-10-15
agibot-world,238,354412,2,2025-10-15
behavior-1k,18,228382,1,2025-10-15
physical-intelligence,46,75442,2,2025-10-15
yaak-ai,46,172293,3,2025-10-15
Ai2,38,100679,4,2025-10-22
Hugging Face,168,1713936,111,2025-10-22
IPEC-COMMUNITY,24,9925619,32,2025-10-22
InternRobotics,209,221119,7,2025-10-22
NVIDIA,301,6566781,11,2025-10-22
agibot-world,238,362099,2,2025-10-22
behavior-1k,18,314192,1,2025-10-22
physical-intelligence,46,80474,2,2025-10-22
yaak-ai,46,173642,3,2025-10-22
Ai2,40,106643,4,2025-10-29
Hugging Face,173,1746475,111,2025-10-29
IPEC-COMMUNITY,24,10299418,32,2025-10-29
InternRobotics,212,236768,7,2025-10-29
NVIDIA,310,7206682,11,2025-10-29
agibot-world,242,369181,2,2025-10-29
behavior-1k,19,395103,1,2025-10-29
physical-intelligence,47,84262,2,2025-10-29
yaak-ai,47,179437,3,2025-10-29
Ai2,40,107585,4,2025-11-05
Hugging Face,174,1757216,111,2025-11-05
IPEC-COMMUNITY,24,10455033,32,2025-11-05
InternRobotics,214,245768,7,2025-11-05
NVIDIA,316,7426026,11,2025-11-05
agibot-world,244,374705,2,2025-11-05
behavior-1k,20,428647,1,2025-11-05
physical-intelligence,48,86262,2,2025-11-05
yaak-ai,47,179845,3,2025-11-05
Ai2,40,107585,4,2025-11-12
Hugging Face,174,1757216,111,2025-11-12
IPEC-COMMUNITY,24,10455033,32,2025-11-12
InternRobotics,214,245768,7,2025-11-12
NVIDIA,316,7426026,11,2025-11-12
agibot-world,244,374705,2,2025-11-12
behavior-1k,20,428647,1,2025-11-12
physical-intelligence,48,86262,2,2025-11-12
yaak-ai,47,179845,3,2025-11-12
Ai2,40,107585,4,2025-11-19
Hugging Face,174,1757216,111,2025-11-19
IPEC-COMMUNITY,24,10455033,32,2025-11-19
InternRobotics,214,245768,7,2025-11-19
NVIDIA,316,7426026,11,2025-11-19
agibot-world,244,374705,2,2025-11-19
behavior-1k,20,428647,1,2025-11-19
physical-intelligence,48,86262,2,2025-11-19
yaak-ai,47,179845,3,2025-11-19
Ai2,41,131452,4,2025-11-26
Hugging Face,194,1847964,111,2025-11-26
IPEC-COMMUNITY,26,12174515,32,2025-11-26
InternRobotics,241,323360,7,2025-11-26
NVIDIA,303,8315989,10,2025-11-26
RoboCOIN,0,77208,267,2025-11-26
agibot-world,250,397065,2,2025-11-26
behavior-1k,21,601349,1,2025-11-26
physical-intelligence,55,104390,2,2025-11-26
yaak-ai,48,194208,3,2025-11-26
Ai2,42,139812,4,2025-12-03
Hugging Face,210,1936765,115,2025-12-03
IPEC-COMMUNITY,39,12429710,33,2025-12-03
InternRobotics,260,363890,7,2025-12-03
NVIDIA,315,8430493,12,2025-12-03
RoboCOIN,0,237155,409,2025-12-03
agibot-world,251,409357,2,2025-12-03
behavior-1k,21,622112,1,2025-12-03
physical-intelligence,58,113862,2,2025-12-03
yaak-ai,48,201350,4,2025-12-03
Ai2,42,146276,4,2025-12-10
Hugging Face,228,2009436,116,2025-12-10
IPEC-COMMUNITY,42,13063866,33,2025-12-10
InternRobotics,267,413700,7,2025-12-10
NVIDIA,325,8528093,12,2025-12-10
RoboCOIN,0,335175,409,2025-12-10
agibot-world,253,423800,2,2025-12-10
behavior-1k,24,645523,1,2025-12-10
physical-intelligence,58,123172,2,2025-12-10
yaak-ai,48,206663,4,2025-12-10
Ai2,42,153934,4,2025-12-17
Hugging Face,239,2077384,116,2025-12-17
IPEC-COMMUNITY,45,13369644,33,2025-12-17
InternRobotics,270,448169,7,2025-12-17
NVIDIA,327,8891329,12,2025-12-17
RoboCOIN,1,398145,409,2025-12-17
agibot-world,255,434407,2,2025-12-17
behavior-1k,26,690039,1,2025-12-17
physical-intelligence,58,128797,2,2025-12-17
yaak-ai,49,219330,4,2025-12-17
Ai2,42,155624,4,2025-12-24
Hugging Face,245,2129014,116,2025-12-24
IPEC-COMMUNITY,45,13541329,33,2025-12-24
InternRobotics,277,479987,7,2025-12-24
NVIDIA,329,9224566,12,2025-12-24
RoboCOIN,2,464440,398,2025-12-24
agibot-world,256,453445,2,2025-12-24
behavior-1k,26,714434,1,2025-12-24
physical-intelligence,61,136553,2,2025-12-24
yaak-ai,49,226543,4,2025-12-24
